CUSTNAME,GenderCode,CITY,CREDITCARD_TYPE,CUST_ID,ORDER_ID,ORDER_DATE,ORDER_TIME,AGE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,GENERATION,portfolio_1,portfolio_2,portfolio_3,portfolio_4,portfolio_5,portfolio_6,portfolio_7,portfolio_8,portfolio_9,portfolio_10,portfolio_11,portfolio_12,portfolio_13,portfolio_14,portfolio_15,portfolio_16,portfolio_17,portfolio_18,portfolio_19,portfolio_20,portfolio_21,portfolio_22,portfolio_23,portfolio_24,portfolio_25,portfolio_26,portfolio_27,portfolio_28,portfolio_29
Allen Perl          ,Mr.,Abeto,Master Card,10003,1106,2016-06-23 00:00:00.000,2016.6.23 15:29,27,Complete,Phone,Frequent,Gen_Y,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,Abeto,Master Card,10003,2948,2016-01-08 00:00:00.000,2016.1.8 3:13,27,Abandoned,Phone,Frequent,Gen_Y,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,Abeto,Master Card,10003,3323,2016-08-25 00:00:00.000,2016.8.25 16:39,27,Complete,Desktop,Frequent,Gen_Y,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,Abeto,Master Card,10003,7498,2016-10-22 00:00:00.000,2016.10.22 8:19,27,Complete,Phone,Frequent,Gen_Y,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,Abeto,Master Card,10003,7973,2016-04-06 00:00:00.000,2016.4.6 13:07,27,Complete,Phone,Frequent,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,Abeto,Master Card,10003,9107,2016-02-06 00:00:00.000,2016.2.6 13:07,27,Complete,Phone,Frequent,Gen_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Whitney     ,Mr.,Achstetten,VISA,10007,7441,2016-01-20 00:00:00.000,2016.1.20 22:39,NA,Complete,Desktop,FirstTime,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
Thomas Owens        ,Mr.,Adami,VISA,10015,627,2016-03-16 17:47:25.000,2016.3.16 17:47,60,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Owens        ,Mr.,Adami,VISA,10015,1209,2016-01-20 00:00:00.000,2016.1.20 20:43,60,Cancelled,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Owens        ,Mr.,Adami,VISA,10015,1556,2016-04-10 00:00:00.000,2016.4.10 18:36,60,Complete,Phone,Occasional,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
